trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
216,13:59:00,13:59:00,17,1,,,,,
216,14:01:00,14:01:00,15,2,,,,,
216,14:03:00,14:03:00,13,3,,,,,
216,14:04:00,14:04:00,11,4,,,,,
216,14:06:00,14:06:00,9,5,,,,,
216,14:08:00,14:08:00,7,6,,,,,
216,14:10:00,14:10:00,5,7,,,,,
216,14:12:00,14:12:00,3,8,,,,,
216,14:14:00,14:14:00,1,9,,,,,
216,14:16:00,14:16:00,0,10,,,,,
217,14:19:00,14:19:00,17,1,,,,,
217,14:21:00,14:21:00,15,2,,,,,
217,14:23:00,14:23:00,13,3,,,,,
217,14:24:00,14:24:00,11,4,,,,,
217,14:26:00,14:26:00,9,5,,,,,
217,14:28:00,14:28:00,7,6,,,,,
217,14:30:00,14:30:00,5,7,,,,,
217,14:32:00,14:32:00,3,8,,,,,
217,14:34:00,14:34:00,1,9,,,,,
217,14:36:00,14:36:00,0,10,,,,,
214,13:19:00,13:19:00,17,1,,,,,
214,13:21:00,13:21:00,15,2,,,,,
214,13:23:00,13:23:00,13,3,,,,,
214,13:24:00,13:24:00,11,4,,,,,
214,13:26:00,13:26:00,9,5,,,,,
214,13:28:00,13:28:00,7,6,,,,,
214,13:30:00,13:30:00,5,7,,,,,
214,13:32:00,13:32:00,3,8,,,,,
214,13:34:00,13:34:00,1,9,,,,,
214,13:36:00,13:36:00,0,10,,,,,
215,13:39:00,13:39:00,17,1,,,,,
215,13:41:00,13:41:00,15,2,,,,,
215,13:43:00,13:43:00,13,3,,,,,
215,13:44:00,13:44:00,11,4,,,,,
215,13:46:00,13:46:00,9,5,,,,,
215,13:48:00,13:48:00,7,6,,,,,
215,13:50:00,13:50:00,5,7,,,,,
215,13:52:00,13:52:00,3,8,,,,,
215,13:54:00,13:54:00,1,9,,,,,
215,13:56:00,13:56:00,0,10,,,,,
212,12:39:00,12:39:00,17,1,,,,,
212,12:41:00,12:41:00,15,2,,,,,
212,12:43:00,12:43:00,13,3,,,,,
212,12:44:00,12:44:00,11,4,,,,,
212,12:46:00,12:46:00,9,5,,,,,
212,12:48:00,12:48:00,7,6,,,,,
212,12:50:00,12:50:00,5,7,,,,,
212,12:52:00,12:52:00,3,8,,,,,
212,12:54:00,12:54:00,1,9,,,,,
212,12:56:00,12:56:00,0,10,,,,,
213,12:59:00,12:59:00,17,1,,,,,
213,13:01:00,13:01:00,15,2,,,,,
213,13:03:00,13:03:00,13,3,,,,,
213,13:04:00,13:04:00,11,4,,,,,
213,13:06:00,13:06:00,9,5,,,,,
213,13:08:00,13:08:00,7,6,,,,,
213,13:10:00,13:10:00,5,7,,,,,
213,13:12:00,13:12:00,3,8,,,,,
213,13:14:00,13:14:00,1,9,,,,,
213,13:16:00,13:16:00,0,10,,,,,
210,11:59:00,11:59:00,17,1,,,,,
210,12:01:00,12:01:00,15,2,,,,,
210,12:03:00,12:03:00,13,3,,,,,
210,12:04:00,12:04:00,11,4,,,,,
210,12:06:00,12:06:00,9,5,,,,,
210,12:08:00,12:08:00,7,6,,,,,
210,12:10:00,12:10:00,5,7,,,,,
210,12:12:00,12:12:00,3,8,,,,,
210,12:14:00,12:14:00,1,9,,,,,
210,12:16:00,12:16:00,0,10,,,,,
211,12:19:00,12:19:00,17,1,,,,,
211,12:21:00,12:21:00,15,2,,,,,
211,12:23:00,12:23:00,13,3,,,,,
211,12:24:00,12:24:00,11,4,,,,,
211,12:26:00,12:26:00,9,5,,,,,
211,12:28:00,12:28:00,7,6,,,,,
211,12:30:00,12:30:00,5,7,,,,,
211,12:32:00,12:32:00,3,8,,,,,
211,12:34:00,12:34:00,1,9,,,,,
211,12:36:00,12:36:00,0,10,,,,,
165,16:06:00,16:06:00,17,1,,,,,
165,16:08:00,16:08:00,15,2,,,,,
165,16:10:00,16:10:00,13,3,,,,,
165,16:12:00,16:12:00,11,4,,,,,
165,16:14:00,16:14:00,9,5,,,,,
165,16:16:00,16:16:00,7,6,,,,,
165,16:18:00,16:18:00,5,7,,,,,
165,16:20:00,16:20:00,3,8,,,,,
165,16:22:00,16:22:00,1,9,,,,,
165,16:24:00,16:24:00,0,10,,,,,
218,14:39:00,14:39:00,17,1,,,,,
218,14:41:00,14:41:00,15,2,,,,,
218,14:43:00,14:43:00,13,3,,,,,
218,14:44:00,14:44:00,11,4,,,,,
218,14:46:00,14:46:00,9,5,,,,,
218,14:48:00,14:48:00,7,6,,,,,
218,14:50:00,14:50:00,5,7,,,,,
218,14:52:00,14:52:00,3,8,,,,,
218,14:54:00,14:54:00,1,9,,,,,
218,14:56:00,14:56:00,0,10,,,,,
219,14:59:00,14:59:00,17,1,,,,,
219,15:01:00,15:01:00,15,2,,,,,
219,15:03:00,15:03:00,13,3,,,,,
219,15:04:00,15:04:00,11,4,,,,,
219,15:06:00,15:06:00,9,5,,,,,
219,15:08:00,15:08:00,7,6,,,,,
219,15:10:00,15:10:00,5,7,,,,,
219,15:12:00,15:12:00,3,8,,,,,
219,15:14:00,15:14:00,1,9,,,,,
219,15:16:00,15:16:00,0,10,,,,,
133,08:06:00,08:06:00,17,1,,,,,
133,08:08:00,08:08:00,15,2,,,,,
133,08:10:00,08:10:00,13,3,,,,,
133,08:12:00,08:12:00,11,4,,,,,
133,08:14:00,08:14:00,9,5,,,,,
133,08:16:00,08:16:00,7,6,,,,,
133,08:18:00,08:18:00,5,7,,,,,
133,08:20:00,08:20:00,3,8,,,,,
133,08:22:00,08:22:00,1,9,,,,,
133,08:24:00,08:24:00,0,10,,,,,
132,07:51:00,07:51:00,17,1,,,,,
132,07:53:00,07:53:00,15,2,,,,,
132,07:55:00,07:55:00,13,3,,,,,
132,07:57:00,07:57:00,11,4,,,,,
132,07:59:00,07:59:00,9,5,,,,,
