route_id,trip_id,trip_headsign,service_id
1,216,To Intermodal Station,1
1,217,To Intermodal Station,1
1,214,To Intermodal Station,1
1,215,To Intermodal Station,1
1,212,To Intermodal Station,1
1,213,To Intermodal Station,1
1,210,To Intermodal Station,1
1,211,To Intermodal Station,1
1,165,To Intermodal Station,0
1,218,To Intermodal Station,1
1,219,To Intermodal Station,1
1,133,To Intermodal Station,0
1,132,To Intermodal Station,0
1,131,To Intermodal Station,0
1,130,To Intermodal Station,0
1,137,To Intermodal Station,0
1,136,To Intermodal Station,0
1,135,To Intermodal Station,0
1,134,To Intermodal Station,0
1,139,To Intermodal Station,0
1,138,To Intermodal Station,0
1,166,To Intermodal Station,0
0,24,To Burns Commons,0
0,25,To Burns Commons,0
0,26,To Burns Commons,0
0,27,To Burns Commons,0
0,20,To Burns Commons,0
0,21,To Burns Commons,0
0,22,To Burns Commons,0
0,23,To Burns Commons,0
1,160,To Intermodal Station,0
0,28,To Burns Commons,0
0,29,To Burns Commons,0
1,161,To Intermodal Station,0
0,0,To Burns Commons,0
0,4,To Burns Commons,0
0,8,To Burns Commons,0
1,163,To Intermodal Station,0
0,119,To Burns Commons,2
0,120,To Burns Commons,2
0,121,To Burns Commons,2
0,122,To Burns Commons,2
1,123,To Intermodal Station,0
1,124,To Intermodal Station,0
1,125,To Intermodal Station,0
1,126,To Intermodal Station,0
1,127,To Intermodal Station,0
1,128,To Intermodal Station,0
1,129,To Intermodal Station,0
1,167,To Intermodal Station,0
0,118,To Burns Commons,2
0,59,To Burns Commons,0
0,58,To Burns Commons,0
0,55,To Burns Commons,0
0,54,To Burns Commons,0
0,57,To Burns Commons,0
0,56,To Burns Commons,0
0,51,To Burns Commons,0
0,50,To Burns Commons,0
0,53,To Burns Commons,0
0,52,To Burns Commons,0
1,164,To Intermodal Station,0
1,201,To Intermodal Station,1
1,199,To Intermodal Station,1
1,179,To Intermodal Station,0
1,200,To Intermodal Station,1
1,195,To Intermodal Station,1
1,194,To Intermodal Station,0
1,197,To Intermodal Station,1
1,178,To Intermodal Station,0
1,191,To Intermodal Station,0
1,190,To Intermodal Station,0
1,193,To Intermodal Station,0
1,192,To Intermodal Station,0
0,115,To Burns Commons,1
0,114,To Burns Commons,1
0,88,To Burns Commons,1
0,89,To Burns Commons,1
0,111,To Burns Commons,1
0,110,To Burns Commons,1
0,113,To Burns Commons,1
0,112,To Burns Commons,1
0,82,To Burns Commons,1
0,83,To Burns Commons,1
0,80,To Burns Commons,1
0,81,To Burns Commons,1
0,86,To Burns Commons,1
0,87,To Burns Commons,1
0,84,To Burns Commons,1
0,85,To Burns Commons,1
1,198,To Intermodal Station,1
1,206,To Intermodal Station,1
1,226,To Intermodal Station,1
0,3,To Burns Commons,0
1,177,To Intermodal Station,0
0,7,To Burns Commons,0
1,225,To Intermodal Station,1
1,245,To Intermodal Station,2
1,244,To Intermodal Station,2
0,108,To Burns Commons,1
0,109,To Burns Commons,1
1,241,To Intermodal Station,2
1,240,To Intermodal Station,2
1,243,To Intermodal Station,2
1,242,To Intermodal Station,2
0,102,To Burns Commons,1
0,103,To Burns Commons,1
0,100,To Burns Commons,1
0,101,To Burns Commons,1
0,106,To Burns Commons,1
0,107,To Burns Commons,1
0,104,To Burns Commons,1
0,105,To Burns Commons,1
0,39,To Burns Commons,0
0,38,To Burns Commons,0
0,33,To Burns Commons,0
0,32,To Burns Commons,0
0,31,To Burns Commons,0
0,30,To Burns Commons,0
0,37,To Burns Commons,0
0,36,To Burns Commons,0
0,35,To Burns Commons,0
0,34,To Burns Commons,0
1,205,To Intermodal Station,1
1,223,To Intermodal Station,1
1,176,To Intermodal Station,0
0,60,To Burns Commons,0
0,61,To Burns Commons,0
0,62,To Burns Commons,0
0,63,To Burns Commons,0
0,64,To Burns Commons,0
0,65,To Burns Commons,0
0,66,To Burns Commons,0
0,67,To Burns Commons,0
0,68,To Burns Commons,0
0,69,To Burns Commons,0
1,175,To Intermodal Station,0
1,174,To Intermodal Station,0
1,173,To Intermodal Station,0
1,172,To Intermodal Station,0
1,171,To Intermodal Station,0
1,170,To Intermodal Station,0
1,203,To Intermodal Station,1
1,222,To Intermodal Station,1
1,181,To Intermodal Station,0
1,182,To Intermodal Station,0
1,183,To Intermodal Station,0
1,180,To Intermodal Station,0
0,2,To Burns Commons,0
1,162,To Intermodal Station,0
1,187,To Intermodal Station,0
1,184,To Intermodal Station,0
0,6,To Burns Commons,0
1,220,To Intermodal Station,1
1,186,To Intermodal Station,0
1,188,To Intermodal Station,0
1,189,To Intermodal Station,0
1,202,To Intermodal Station,1
1,196,To Intermodal Station,1
1,221,To Intermodal Station,1
1,185,To Intermodal Station,0
0,99,To Burns Commons,1
0,98,To Burns Commons,1
1,168,To Intermodal Station,0
1,169,To Intermodal Station,0
1,229,To Intermodal Station,1
1,228,To Intermodal Station,1
0,91,To Burns Commons,1
0,90,To Burns Commons,1
0,93,To Burns Commons,1
0,92,To Burns Commons,1
0,95,To Burns Commons,1
0,94,To Burns Commons,1
0,97,To Burns Commons,1
0,96,To Burns Commons,1
0,11,To Burns Commons,0
0,10,To Burns Commons,0
0,13,To Burns Commons,0
0,12,To Burns Commons,0
0,15,To Burns Commons,0
0,14,To Burns Commons,0
0,17,To Burns Commons,0
0,16,To Burns Commons,0
0,19,To Burns Commons,0
0,18,To Burns Commons,0
0,117,To Burns Commons,2
0,116,To Burns Commons,1
1,204,To Intermodal Station,1
1,151,To Intermodal Station,0
1,150,To Intermodal Station,0
1,153,To Intermodal Station,0
1,152,To Intermodal Station,0
1,155,To Intermodal Station,0
1,154,To Intermodal Station,0
1,157,To Intermodal Station,0
