Intermodal,St. Paul at Plankinton Eastbound,Historic Third Ward Eastbound,Wisconsin Avenue Northbound,City Hall Northbound,Cathedral Square Eastbound,Jackson at Juneau Northbound,Ogden/Jackson Eastbound,Ogden at Astor Eastbound,Burns Commons
5:00:00,5:02:00,5:04:00,5:06:00,5:08:00,5:09:00,5:11:00,5:13:00,5:15:00,5:17:00
5:20:00,5:22:00,5:24:00,5:26:00,5:28:00,5:29:00,5:31:00,5:33:00,5:35:00,5:37:00
5:40:00,5:42:00,5:44:00,5:46:00,5:48:00,5:49:00,5:51:00,5:53:00,5:55:00,5:57:00
6:00:00,6:02:00,6:04:00,6:06:00,6:08:00,6:09:00,6:11:00,6:13:00,6:15:00,6:17:00
6:20:00,6:22:00,6:24:00,6:26:00,6:28:00,6:29:00,6:31:00,6:33:00,6:35:00,6:37:00
6:40:00,6:42:00,6:44:00,6:46:00,6:48:00,6:49:00,6:51:00,6:53:00,6:55:00,6:57:00
7:00:00,7:02:00,7:04:00,7:06:00,7:08:00,7:09:00,7:11:00,7:13:00,7:15:00,7:17:00
7:15:00,7:17:00,7:19:00,7:21:00,7:23:00,7:24:00,7:26:00,7:28:00,7:30:00,7:32:00
7:30:00,7:32:00,7:34:00,7:36:00,7:38:00,7:39:00,7:41:00,7:43:00,7:45:00,7:47:00
7:45:00,7:47:00,7:49:00,7:51:00,7:53:00,7:54:00,7:56:00,7:58:00,8:00:00,8:02:00
8:00:00,8:02:00,8:04:00,8:06:00,8:08:00,8:09:00,8:11:00,8:13:00,8:15:00,8:17:00
8:15:00,8:17:00,8:19:00,8:21:00,8:23:00,8:24:00,8:26:00,8:28:00,8:30:00,8:32:00
8:30:00,8:32:00,8:34:00,8:36:00,8:38:00,8:39:00,8:41:00,8:43:00,8:45:00,8:47:00
8:45:00,8:47:00,8:49:00,8:51:00,8:53:00,8:54:00,8:56:00,8:58:00,9:00:00,9:02:00
9:00:00,9:02:00,9:04:00,9:06:00,9:08:00,9:09:00,9:11:00,9:13:00,9:15:00,9:17:00
9:15:00,9:17:00,9:19:00,9:21:00,9:23:00,9:24:00,9:26:00,9:28:00,9:30:00,9:32:00
9:30:00,9:32:00,9:34:00,9:36:00,9:38:00,9:39:00,9:41:00,9:43:00,9:45:00,9:47:00
9:45:00,9:47:00,9:49:00,9:51:00,9:53:00,9:54:00,9:56:00,9:58:00,10:00:00,10:02:00
10:00:00,10:02:00,10:04:00,10:06:00,10:08:00,10:09:00,10:11:00,10:13:00,10:15:00,10:17:00
10:15:00,10:17:00,10:19:00,10:21:00,10:23:00,10:24:00,10:26:00,10:28:00,10:30:00,10:32:00
10:30:00,10:32:00,10:34:00,10:36:00,10:38:00,10:39:00,10:41:00,10:43:00,10:45:00,10:47:00
10:45:00,10:47:00,10:49:00,10:51:00,10:53:00,10:54:00,10:56:00,10:58:00,11:00:00,11:02:00
11:00:00,11:02:00,11:04:00,11:06:00,11:08:00,11:09:00,11:11:00,11:13:00,11:15:00,11:17:00
11:15:00,11:17:00,11:19:00,11:21:00,11:23:00,11:24:00,11:26:00,11:28:00,11:30:00,11:32:00
11:30:00,11:32:00,11:34:00,11:36:00,11:38:00,11:39:00,11:41:00,11:43:00,11:45:00,11:47:00
11:45:00,11:47:00,11:49:00,11:51:00,11:53:00,11:54:00,11:56:00,11:58:00,12:00:00,12:02:00
