Intermodal,St. Paul at Plankinton Eastbound,Historic Third Ward Eastbound,Wisconsin Avenue Northbound,City Hall Northbound,Cathedral Square Eastbound,Jackson at Juneau Northbound,Ogden/Jackson Eastbound,Ogden at Astor Eastbound,Burns Commons
7:00:00,7:02:00,7:04:00,7:06:00,7:08:00,7:09:00,7:11:00,7:12:00,7:14:00,7:16:00
7:20:00,7:22:00,7:24:00,7:26:00,7:28:00,7:29:00,7:31:00,7:32:00,7:34:00,7:36:00
7:40:00,7:42:00,7:44:00,7:46:00,7:48:00,7:49:00,7:51:00,7:52:00,7:54:00,7:56:00
8:00:00,8:02:00,8:04:00,8:06:00,8:08:00,8:09:00,8:11:00,8:12:00,8:14:00,8:16:00
8:20:00,8:22:00,8:24:00,8:26:00,8:28:00,8:29:00,8:31:00,8:32:00,8:34:00,8:36:00
8:40:00,8:42:00,8:44:00,8:46:00,8:48:00,8:49:00,8:51:00,8:52:00,8:54:00,8:56:00
9:00:00,9:02:00,9:04:00,9:06:00,9:08:00,9:09:00,9:11:00,9:12:00,9:14:00,9:16:00
9:20:00,9:22:00,9:24:00,9:26:00,9:28:00,9:29:00,9:31:00,9:32:00,9:34:00,9:36:00
9:40:00,9:42:00,9:44:00,9:46:00,9:48:00,9:49:00,9:51:00,9:52:00,9:54:00,9:56:00
10:00:00,10:02:00,10:04:00,10:06:00,10:08:00,10:09:00,10:11:00,10:12:00,10:14:00,10:16:00
10:20:00,10:22:00,10:24:00,10:26:00,10:28:00,10:29:00,10:31:00,10:32:00,10:34:00,10:36:00
10:40:00,10:42:00,10:44:00,10:46:00,10:48:00,10:49:00,10:51:00,10:52:00,10:54:00,10:56:00
11:00:00,11:02:00,11:04:00,11:06:00,11:08:00,11:09:00,11:11:00,11:12:00,11:14:00,11:16:00
11:20:00,11:22:00,11:24:00,11:26:00,11:28:00,11:29:00,11:31:00,11:32:00,11:34:00,11:36:00
11:40:00,11:42:00,11:44:00,11:46:00,11:48:00,11:49:00,11:51:00,11:52:00,11:54:00,11:56:00
12:00:00,12:02:00,12:04:00,12:06:00,12:08:00,12:09:00,12:11:00,12:12:00,12:14:00,12:16:00
12:20:00,12:22:00,12:24:00,12:26:00,12:28:00,12:29:00,12:31:00,12:32:00,12:34:00,12:36:00
12:40:00,12:42:00,12:44:00,12:46:00,12:48:00,12:49:00,12:51:00,12:52:00,12:54:00,12:56:00
13:00:00,13:02:00,13:04:00,13:06:00,13:08:00,13:09:00,13:11:00,13:12:00,13:14:00,13:16:00
13:20:00,13:22:00,13:24:00,13:26:00,13:28:00,13:29:00,13:31:00,13:32:00,13:34:00,13:36:00
13:40:00,13:42:00,13:44:00,13:46:00,13:48:00,13:49:00,13:51:00,13:52:00,13:54:00,13:56:00
14:00:00,14:02:00,14:04:00,14:06:00,14:08:00,14:09:00,14:11:00,14:12:00,14:14:00,14:16:00
14:20:00,14:22:00,14:24:00,14:26:00,14:28:00,14:29:00,14:31:00,14:32:00,14:34:00,14:36:00
14:40:00,14:42:00,14:44:00,14:46:00,14:48:00,14:49:00,14:51:00,14:52:00,14:54:00,14:56:00
15:00:00,15:02:00,15:04:00,15:06:00,15:08:00,15:09:00,15:11:00,15:12:00,15:14:00,15:16:00
15:20:00,15:22:00,15:24:00,15:26:00,15:28:00,15:29:00,15:31:00,15:32:00,15:34:00,15:36:00
15:40:00,15:42:00,15:44:00,15:46:00,15:48:00,15:49:00,15:51:00,15:52:00,15:54:00,15:56:00
16:00:00,16:02:00,16:04:00,16:06:00,16:08:00,16:09:00,16:11:00,16:12:00,16:14:00,16:16:00
16:20:00,16:22:00,16:24:00,16:26:00,16:28:00,16:29:00,16:31:00,16:32:00,16:34:00,16:36:00
16:40:00,16:42:00,16:44:00,16:46:00,16:48:00,16:49:00,16:51:00,16:52:00,16:54:00,16:56:00
17:00:00,17:02:00,17:04:00,17:06:00,17:08:00,17:09:00,17:11:00,17:12:00,17:14:00,17:16:00
