Burns Commons,Ogden at Astor Westbound,Ogden/Jackson Westbound,Jackson at Juneau Southbound,Cathedral Square Westbound,City Hall Southbound,Wisconsin Avenue Southbound,Historic Third Ward Westbound,St. Paul at Plankinton Westbound,Intermodal
6:59:00,7:01:00,7:03:00,7:04:00,7:06:00,7:08:00,7:10:00,7:12:00,7:14:00,7:16:00
7:19:00,7:21:00,7:23:00,7:24:00,7:26:00,7:28:00,7:30:00,7:32:00,7:34:00,7:36:00
7:39:00,7:41:00,7:43:00,7:44:00,7:46:00,7:48:00,7:50:00,7:52:00,7:54:00,7:56:00
7:59:00,8:01:00,8:03:00,8:04:00,8:06:00,8:08:00,8:10:00,8:12:00,8:14:00,8:16:00
8:19:00,8:21:00,8:23:00,8:24:00,8:26:00,8:28:00,8:30:00,8:32:00,8:34:00,8:36:00
8:39:00,8:41:00,8:43:00,8:44:00,8:46:00,8:48:00,8:50:00,8:52:00,8:54:00,8:56:00
8:59:00,9:01:00,9:03:00,9:04:00,9:06:00,9:08:00,9:10:00,9:12:00,9:14:00,9:16:00
9:19:00,9:21:00,9:23:00,9:24:00,9:26:00,9:28:00,9:30:00,9:32:00,9:34:00,9:36:00
9:39:00,9:41:00,9:43:00,9:44:00,9:46:00,9:48:00,9:50:00,9:52:00,9:54:00,9:56:00
9:59:00,10:01:00,10:03:00,10:04:00,10:06:00,10:08:00,10:10:00,10:12:00,10:14:00,10:16:00
10:19:00,10:21:00,10:23:00,10:24:00,10:26:00,10:28:00,10:30:00,10:32:00,10:34:00,10:36:00
10:39:00,10:41:00,10:43:00,10:44:00,10:46:00,10:48:00,10:50:00,10:52:00,10:54:00,10:56:00
10:59:00,11:01:00,11:03:00,11:04:00,11:06:00,11:08:00,11:10:00,11:12:00,11:14:00,11:16:00
11:19:00,11:21:00,11:23:00,11:24:00,11:26:00,11:28:00,11:30:00,11:32:00,11:34:00,11:36:00
11:39:00,11:41:00,11:43:00,11:44:00,11:46:00,11:48:00,11:50:00,11:52:00,11:54:00,11:56:00
11:59:00,12:01:00,12:03:00,12:04:00,12:06:00,12:08:00,12:10:00,12:12:00,12:14:00,12:16:00
12:19:00,12:21:00,12:23:00,12:24:00,12:26:00,12:28:00,12:30:00,12:32:00,12:34:00,12:36:00
12:39:00,12:41:00,12:43:00,12:44:00,12:46:00,12:48:00,12:50:00,12:52:00,12:54:00,12:56:00
12:59:00,13:01:00,13:03:00,13:04:00,13:06:00,13:08:00,13:10:00,13:12:00,13:14:00,13:16:00
13:19:00,13:21:00,13:23:00,13:24:00,13:26:00,13:28:00,13:30:00,13:32:00,13:34:00,13:36:00
13:39:00,13:41:00,13:43:00,13:44:00,13:46:00,13:48:00,13:50:00,13:52:00,13:54:00,13:56:00
13:59:00,14:01:00,14:03:00,14:04:00,14:06:00,14:08:00,14:10:00,14:12:00,14:14:00,14:16:00
14:19:00,14:21:00,14:23:00,14:24:00,14:26:00,14:28:00,14:30:00,14:32:00,14:34:00,14:36:00
14:39:00,14:41:00,14:43:00,14:44:00,14:46:00,14:48:00,14:50:00,14:52:00,14:54:00,14:56:00
14:59:00,15:01:00,15:03:00,15:04:00,15:06:00,15:08:00,15:10:00,15:12:00,15:14:00,15:16:00
15:19:00,15:21:00,15:23:00,15:24:00,15:26:00,15:28:00,15:30:00,15:32:00,15:34:00,15:36:00
15:39:00,15:41:00,15:43:00,15:44:00,15:46:00,15:48:00,15:50:00,15:52:00,15:54:00,15:56:00
15:59:00,16:01:00,16:03:00,16:04:00,16:06:00,16:08:00,16:10:00,16:12:00,16:14:00,16:16:00
16:19:00,16:21:00,16:23:00,16:24:00,16:26:00,16:28:00,16:30:00,16:32:00,16:34:00,16:36:00
16:39:00,16:41:00,16:43:00,16:44:00,16:46:00,16:48:00,16:50:00,16:52:00,16:54:00,16:56:00
16:59:00,17:01:00,17:03:00,17:04:00,17:06:00,17:08:00,17:10:00,17:12:00,17:14:00,17:16:00
17:19:00,17:21:00,17:23:00,17:24:00,17:26:00,17:28:00,17:30:00,17:32:00,17:34:00,17:36:00
17:39:00,17:41:00,17:43:00,17:44:00,17:46:00,17:48:00,17:50:00,17:52:00,17:54:00,17:56:00
17:59:00,18:01:00,18:03:00,18:04:00,18:06:00,18:08:00,18:10:00,18:12:00,18:14:00,18:16:00
18:19:00,18:21:00,18:23:00,18:24:00,18:26:00,18:28:00,18:30:00,18:32:00,18:34:00,18:36:00
18:39:00,18:41:00,18:43:00,18:44:00,18:46:00,18:48:00,18:50:00,18:52:00,18:54:00,18:56:00
18:59:00,19:01:00,19:03:00,19:04:00,19:06:00,19:08:00,19:10:00,19:12:00,19:14:00,19:16:00
19:19:00,19:21:00,19:23:00,19:24:00,19:26:00,19:28:00,19:30:00,19:32:00,19:34:00,19:36:00
19:39:00,19:41:00,19:43:00,19:44:00,19:46:00,19:48:00,19:50:00,19:52:00,19:54:00,19:56:00
19:59:00,20:01:00,20:03:00,20:04:00,20:06:00,20:08:00,20:10:00,20:12:00,20:14:00,20:16:00
20:19:00,20:21:00,20:23:00,20:24:00,20:26:00,20:28:00,20:30:00,20:32:00,20:34:00,20:36:00
20:39:00,20:41:00,20:43:00,20:44:00,20:46:00,20:48:00,20:50:00,20:52:00,20:54:00,20:56:00
20:59:00,21:01:00,21:03:00,21:04:00,21:06:00,21:08:00,21:10:00,21:12:00,21:14:00,21:16:00
21:19:00,21:21:00,21:23:00,21:24:00,21:26:00,21:28:00,21:30:00,21:32:00,21:34:00,21:36:00
21:39:00,21:41:00,21:43:00,21:44:00,21:46:00,21:48:00,21:50:00,21:52:00,21:54:00,21:56:00
